"BehaviorSpace results (NetLogo 5.2.1)"
"ZAPMM-2018-06-15_WithTimers.nlogo"
"MT_nosub"
"06/16/2018 01:38:01:570 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","50","0","50"
"[run number]","model-mode","times-per-day-farmers-move-cows","invincible-fences","key-resources","subsidy","cow-proportion-to-save","rainfall-type","muonde-projects","rain-site","how-long-to-store-grain","use-muonde-thresholds","clumpiness","[step]","total-mud-crop-perimeter","wood-to-build-fence-per-meter","termite-activity","hours-to-plough-ha","crop-growth-slope","zero-crop-growth-intercept","muonde-efficiency","woodland-growth-slope","cow-maintenance-energy-rate","cow-working-energy-per-hour","kcal-per-kg-of-browse","kcal-per-kg-of-crop","kcal-per-kg-of-cow","production-efficiency","catabolism-efficiency","min-cow-mass","max-cow-mass","calf-birth-mass","livestock-not-reproduction-rate-per-year","proportion-crops","years-gone","morans-i","gearys-c","total-crop-perimeter","average-contiguous-crop-cluster-size","max-percentage-harvest-eaten","crop-eaten-per-cow-per-half-hour","subsidy-used","total-harvest","mean previous-harvests-list","max-livestock-number","min-livestock-number","actual-reproductive-rate","max-woodland-mass","min-woodland-mass","termination-reason","model-setup-time","model-run-time"
"22","""Experiment""","0","true","0","""no""","0","""constant""","10","""Average""","3","true","0","5475","50126.603402012915","5.959109601146717","0.6392401711985207","7.951485811136609","0.8525747305690227","230.5069728504359","3.212121960664178","6.12863346415919","1026.663866148657","889.3235123768777","1939.2165937122556","2331.1412401597327","1427.5774417585233","0.49401688031768676","0.9086721947145636","63.62087627786969","293.5652471735177","17.518762073984256","0.7536656073759546","36","0","-0.5598368141507899","1.5583332037422477","179449.6185562956","0.24","0","0","0","0","17.780421788209456","0","999999","0","0","999999999","""Too few cows""","2.917","4.643"
"10","""Experiment""","0","true","0","""no""","0","""constant""","0","""Average""","3","true","0.22","5475","48659.332819649004","5.717598976311641","0.6605498077288601","8.079241990397149","0.8643243713280035","242.54899575218948","2.861112602454325","5.788720339619659","974.9142145561334","894.4555389081859","1953.7156967226426","2219.5825868419365","1402.0851846134499","0.4819457485006845","0.8946602381890154","65.48406923875027","307.65873886160307","18.353943565389734","0.7349105381078971","45","0","-0.02182762999988402","1.0208710621785193","126295.69113790066","0.6967741935483871","0","0","0","0","17.704781444116534","0","999999","0","0","999999999","""Too few cows""","3.374","4.863"
"4","""Experiment""","0","true","0","""no""","0","""constant""","0","""Average""","0","true","0.54","5475","48393.80337569437","5.838665494152815","0.6438706631417579","8.380314751915565","0.8927005056042225","232.3040877601557","3.1471455060049953","5.6546373627266195","977.6275635826756","918.3549118188251","1937.5708434994392","2249.1686608592668","1404.5600571080968","0.49977873974702036","0.906932306361461","60.121887259096994","292.00011632764284","17.965025338737323","0.7785776677511085","54","0","0.12976331921475226","0.8699906068329823","108022.49765673815","2.786776859504132","0","0","0","0","0","0","999999","0","0","999999999","""Too few cows""","3.42","4.979"
"6","""Experiment""","0","true","0","""no""","0","""constant""","0","""Average""","0","true","0.95","5475","47881.79154811279","5.666524762743725","0.6637795509725716","8.110720548752324","0.8847782004660705","231.49085073726974","3.164797418719055","5.76910804876149","943.6807388003904","882.2820608808262","1943.67421770058","2314.068333229416","1314.157193343027","0.47229996770222354","0.8924868312458084","60.28748806699555","282.81192230042063","18.59755156603942","0.7610032726858666","61","0","0.5046154621983878","0.492341575296092","58542.804852517955","126.96","0","0","0","0","0","0","999999","0","0","999999999","""Too few cows""","3.416","5.047"
"1","""Experiment""","0","true","0","""no""","0","""constant""","0","""Average""","0","true","0","5475","50537.92510383562","5.523049021263503","0.7009433929572803","7.759078773042599","0.8745015653204374","238.60960343199855","3.213468562068186","5.90532499618095","963.5987093228324","939.0042976337729","1986.3827021309085","2208.7533794420547","1305.6189497078917","0.4961822237131182","0.8776298472178485","64.60019218829879","299.4138284024484","18.290669069076674","0.728483246068843","66","0","-0.4214025193143656","1.4200639570759495","159265.82307576222","1.8902752293577982","0","0","0","0","0","0","999999","0","0","999999999","""Too few cows""","3.433","5.082"
"24","""Experiment""","0","true","0","""no""","0","""constant""","10","""Average""","3","true","0.22","5475","50698.56720983214","5.83529639735944","0.7015121682742665","7.82804474088499","0.8806340465663959","241.14025636730472","2.906657188106874","6.61654105366664","941.7061926327741","897.8302576316568","1883.6355078819033","2402.119365609521","1297.9685609379856","0.48539115198332455","0.9419636819760915","65.96039039501804","281.9726650553959","18.29547784484435","0.7579446776716674","61","0","0.03114279299832644","0.9694391018173255","115272.98729537636","2.3083636363636364","0","0","0","0","29.28297611460879","0","999999","0","0","999999999","""Too few cows""","3.514","5.071"
"3","""Experiment""","0","true","0","""no""","0","""constant""","0","""Average""","0","true","0.22","5475","48080.022492267046","5.688156714005555","0.6618012151260521","7.890956786677026","0.9021633075340737","220.65929107455023","2.925365206852621","6.5203954199089225","986.2149408748149","945.465575651879","1912.9030003880189","2303.8113589323757","1309.592263227182","0.498866095339887","0.9223200500276612","63.726290337678286","290.74680150339356","18.37824666765221","0.7602707625555271","65","0","0.04999809844960263","0.9517529021843292","108218.45683616081","4.611818181818181","0","0","0","0","0","0","999999","0","0","999999999","""Too few cows""","3.746","4.935"
"15","""Experiment""","0","true","0","""no""","0","""constant""","10","""Average""","0","true","0","5475","47978.67061057058","5.999583398226797","0.6952659903696409","7.644157436885731","0.8418111437005291","234.9598003328725","3.2741786103178003","6.794874678221592","1018.3067010323064","890.3709361561027","2015.6634214661835","2431.728689782151","1367.6211598911368","0.511069099060661","0.9079402078695179","62.436343760074855","283.0142577902719","17.532983609813023","0.7683940252544981","20","0","-0.24811075858090006","1.2449783297608756","99547.26314670836","0.24","0","0","0","0","38.571192466403076","0","999999","0","0","999999999","""Too few cows""","2.653","6.124"
"19","""Experiment""","0","true","0","""no""","0","""constant""","10","""Average""","0","true","0.85","5475","48739.74073293039","5.804073465121927","0.6524320031360714","8.332451214994222","0.856743227077626","233.82696629462887","2.9111621831590457","5.651748675992526","943.2157279963299","887.9764718457254","1881.8711305545867","2415.812438357005","1418.4139563216181","0.47179488676630765","0.8902625844467797","64.95540100695963","284.01068108595695","18.724850910288897","0.7372855466170772","64","0","0.39528707731501517","0.6015515015264917","69271.56992590828","57.08571428571428","0","0","0","0","0","0","999999","0","0","999999999","""Too few cows""","3.741","5.215"
"23","""Experiment""","0","true","0","""no""","0","""constant""","10","""Average""","3","true","0.07","5475","51804.993555353016","5.576547409363703","0.6466717998059517","8.110484278451883","0.8692795400551507","238.93624828314108","2.952868243285031","5.950631359626895","1021.2149582936402","881.2801822480635","1907.411798329387","2353.5660285097956","1402.428500798773","0.4904074343594075","0.8604066967364155","63.1919032077202","286.4394633497275","17.124208902344876","0.7529641924599504","18","0","-0.1361267185071929","1.1317392975381497","83478.6104340507","0.2746210268948655","0","0","0","0","34.4762573208107","0","999999","0","0","999999999","""Too few cows""","2.697","6.292"
