"BehaviorSpace results (NetLogo 5.2.1)"
"ZAPMM-2018-06-15_WithTimers.nlogo"
"MT_sub"
"06/16/2018 01:38:27:688 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","50","0","50"
"[run number]","model-mode","times-per-day-farmers-move-cows","invincible-fences","key-resources","subsidy","cow-proportion-to-save","rainfall-type","muonde-projects","rain-site","how-long-to-store-grain","use-muonde-thresholds","clumpiness","[step]","total-mud-crop-perimeter","wood-to-build-fence-per-meter","termite-activity","hours-to-plough-ha","crop-growth-slope","zero-crop-growth-intercept","muonde-efficiency","woodland-growth-slope","cow-maintenance-energy-rate","cow-working-energy-per-hour","kcal-per-kg-of-browse","kcal-per-kg-of-crop","kcal-per-kg-of-cow","production-efficiency","catabolism-efficiency","min-cow-mass","max-cow-mass","calf-birth-mass","livestock-not-reproduction-rate-per-year","proportion-crops","years-gone","morans-i","gearys-c","total-crop-perimeter","average-contiguous-crop-cluster-size","max-percentage-harvest-eaten","crop-eaten-per-cow-per-half-hour","subsidy-used","total-harvest","mean previous-harvests-list","max-livestock-number","min-livestock-number","actual-reproductive-rate","max-woodland-mass","min-woodland-mass","termination-reason","model-setup-time","model-run-time"
"24","""Experiment""","0","true","0","""feed""","0.7","""random""","10","""Average""","3","true","0.22","5475","48733.69025928655","5.886905645729768","0.6470698101118715","7.708916308513848","0.904186796275789","240.4298020630045","3.0361852499792956","6.424990966859139","974.2503691808747","874.5897498471428","2013.5196369416701","2290.5698864992987","1381.6765986560742","0.4932140667972717","0.872515990259579","64.71846891348005","292.4159733488522","17.250355486178893","0.7247060047045031","34","0","-0.08954519500798552","1.087215991744702","121935.5993957466","0.4683443708609271","0","0","0","0","16.985221012027004","0","999999","0","0","999999999","""Too few cows""","2.883","4.474"
"19","""Experiment""","0","true","0","""feed""","0.7","""random""","10","""Average""","0","true","0.85","5475","51694.48858038286","5.696566139405275","0.6992155517047257","8.25599039421912","0.8934248610766043","225.10281574085585","3.2958554340460546","6.089852302153365","957.1060237112721","891.7896647191028","1999.1348927893112","2258.3041778173115","1424.9003759344703","0.47415144589876884","0.8673627052728611","62.09179881874744","299.88437822119727","17.187823596840673","0.744486501274704","39","0","0.415860975111839","0.5858658745364369","69663.48828475358","5.935609756097561","0","0","0","0","82.57048549573918","0","999999","0","0","999999999","""Too few cows""","2.706","5.294"
"1","""Experiment""","0","true","0","""feed""","0.7","""random""","0","""Average""","0","true","0","5475","49233.475715145425","5.784464298523521","0.6486377528501888","7.9208367626081255","0.8296852992154073","231.86563919655916","2.8302728895366016","5.873380368222368","986.0635314475606","901.2602171444305","2025.726728301973","2226.5334346735185","1347.976689085296","0.4669993298619275","0.8837414365642733","63.883433003468156","296.1300532231891","18.388174051442633","0.7862942183582424","52","0","-0.43669592156630327","1.4362987692809899","179204.6695820173","0.5617993079584774","0","0","0","0","0","0","999999","0","0","999999999","""Too few cows""","3.495","4.901"
"14","""Experiment""","0","true","0","""feed""","0.7","""random""","0","""Average""","3","true","1","5475","50573.682017848456","5.66413960994348","0.6435276711926697","7.876316410737532","0.9029630900052397","223.27560827051045","2.882486887865275","6.447486184976858","1018.491378398663","897.9809841483304","1893.974126888523","2364.146244160507","1346.4014758864935","0.5066201576718548","0.8626595183684749","62.827167449437795","294.5061469503642","17.452081174447706","0.7745847698708697","49","0","0.8614712973520392","0.13921994854678266","17391.377173760564","305.76","0","0","0","0","85.74290468127133","0","999999","0","0","999999999","""Too few cows""","2.963","5.563"
"23","""Experiment""","0","true","0","""feed""","0.7","""random""","10","""Average""","3","true","0.07","5475","48300.441414083914","5.871906132800342","0.6846187962925295","7.787405531788146","0.8554607886227229","221.52515193323802","3.2418929860245855","6.600305159423516","977.6556681886883","916.4295919370952","1963.570038099458","2397.2296038132795","1422.5951916945237","0.46952363559319","0.8622416879231489","64.12926809233012","286.7417017491916","17.699812985078584","0.7573733586753664","25","0","-0.18854505832585564","1.1857303362314031","111108.85473264495","0.2988505747126437","0","0","0","0","51.07336636384815","0","999999","0","0","999999999","""Too few cows""","2.688","5.847"
"20","""Experiment""","0","true","0","""feed""","0.7","""random""","10","""Average""","0","true","0.95","5475","52108.98257304283","5.887513574111076","0.7033405292348764","7.637332895551235","0.8333323404931493","231.17186346981038","2.8044057572739103","6.699505895308397","966.1613755711029","961.3566168264864","2009.822399788836","2314.2575349700383","1354.7078140487442","0.4878920313182657","0.9074809573615757","62.25765298778425","307.14124607445484","17.875926086466812","0.7679900167949967","56","0","0.48937696150764864","0.5087429994980707","62657.947620393694","58.28","0","0","0","0","102.25400615042979","0","999999","0","0","999999999","""Too few cows""","3.292","5.216"
"10","""Experiment""","0","true","0","""feed""","0.7","""random""","0","""Average""","3","true","0.22","5475","49097.61500516303","5.822088042679979","0.6419637678936756","7.6047482587633","0.8752243564602635","240.0943258236973","3.062535029124401","6.6025508352668645","962.881854134567","902.5021374846049","1853.5787036558859","2331.5842875682924","1304.5231921340278","0.5058402193832647","0.9198684834084266","63.78133433494796","301.8829687396577","17.65486243725085","0.7567057578868808","34","0","-0.09248167612478031","1.0907104585723268","122327.51775459191","0.47569506726457395","0","0","0","0","54.56736413889891","0","999999","0","0","999999999","""Too few cows""","2.951","5.625"
"9","""Experiment""","0","true","0","""feed""","0.7","""random""","0","""Average""","3","true","0.07","5475","49092.099149789225","5.67139570615475","0.6904173122038927","8.235663320288012","0.8399666491666492","243.09905561628864","2.9105246787727284","6.469980492373629","947.9574318564459","937.7155222068889","1924.5327989828475","2374.4086579836544","1358.2664970738163","0.4872598433530278","0.9218298016047161","60.83349956986545","295.62222122586445","17.92691835180805","0.7852829197089776","66","0","-0.29761585699803816","1.2968840014021772","145450.7009264651","2.3413636363636363","0","0","0","0","25.20229432306771","0","999999","0","0","999999999","""Too few cows""","3.611","4.962"
"18","""Experiment""","0","true","0","""feed""","0.7","""random""","10","""Average""","0","true","0.54","5475","50644.629983533516","6.0405526000880805","0.6888542281517251","8.15587017743148","0.8375402010417379","228.96946103692275","2.8999618961470732","5.732948852692153","978.3603392951068","910.1579410703082","1941.7514223962662","2252.257744534487","1312.6712445063758","0.47381898909549397","0.9228424645702893","65.67443997860114","293.8207409275676","17.312416807804027","0.7861952364664541","60","0","0.12321840553703733","0.8760008745871877","105083.10996539834","4.0721739130434775","0","0","0","0","0","0","999999","0","0","999999999","""Too few cows""","3.626","5.018"
"3","""Experiment""","0","true","0","""feed""","0.7","""random""","0","""Average""","0","true","0.22","5475","50996.764397571824","5.6559369401307045","0.6822990823992701","7.7616831471298555","0.9135891801487239","242.11525307024962","3.065314011716583","6.118475367525358","1017.4137139953816","934.7786315038187","1883.4634839521525","2224.3396550947145","1424.2900551445223","0.49485462409401476","0.8601210702226195","64.40085927280766","284.34725449862873","17.660191884995477","0.7430394034675437","63","0","0.03209600708944522","0.9696584089569269","112970.46693716016","3.049302325581395","0","0","0","0","0","0","999999","0","0","999999999","""Too few cows""","3.603","5.054"
