"BehaviorSpace results (NetLogo 5.2.1)"
"ZAPMM-2018-06-15_WithTimers.nlogo"
"OT_feed_vary"
"06/16/2018 01:39:19:138 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","50","0","50"
"[run number]","model-mode","times-per-day-farmers-move-cows","invincible-fences","key-resources","subsidy","cow-proportion-to-save","rainfall-type","muonde-projects","rain-site","how-long-to-store-grain","use-muonde-thresholds","clumpiness","[step]","total-mud-crop-perimeter","wood-to-build-fence-per-meter","termite-activity","hours-to-plough-ha","crop-growth-slope","zero-crop-growth-intercept","muonde-efficiency","woodland-growth-slope","cow-maintenance-energy-rate","cow-working-energy-per-hour","kcal-per-kg-of-browse","kcal-per-kg-of-crop","kcal-per-kg-of-cow","production-efficiency","catabolism-efficiency","min-cow-mass","max-cow-mass","calf-birth-mass","livestock-not-reproduction-rate-per-year","proportion-crops","years-gone","morans-i","gearys-c","total-crop-perimeter","average-contiguous-crop-cluster-size","max-percentage-harvest-eaten","crop-eaten-per-cow-per-half-hour","subsidy-used","total-harvest","mean previous-harvests-list","max-livestock-number","min-livestock-number","actual-reproductive-rate","max-woodland-mass","min-woodland-mass","termination-reason","model-setup-time","model-run-time"
"9","""Experiment""","0","true","0","""feed""","0.7","""random""","0","""Average""","3","false","0.07","5475","48846.839408207205","5.746216540942848","0.6918167069986473","7.762299528553506","0.8344750380265542","229.8272373757991","2.893344555147123","5.991457787387768","935.0172574225546","936.1278775019916","1860.026029070688","2377.786315664443","1318.08364762134","0.4676035777417102","0.8948561165025447","64.78125933762749","285.5512116971971","18.82432786668511","0.7195469521395365","56","0","-0.2947148838637704","1.2947290565803118","159461.7822551849","0.94","0","0","0","0","22.215230321207514","0","999999","0","0","999999999","""Too few cows""","3.183","4.581"
"18","""Experiment""","0","true","0","""feed""","0.7","""random""","10","""Average""","0","false","0.54","5475","49608.17996643459","5.746176978973225","0.6623258087806595","8.116563463760796","0.8568130409857722","240.16192344737124","2.934020864407243","5.8033571041978025","965.7280383623879","874.4996065782154","1964.8629297913794","2226.4944453011813","1376.1227159301736","0.4700213427037948","0.9126185570629148","64.89842996647377","283.6477784989803","18.417122479777515","0.7488684700015792","43","0","0.13830795414630984","0.8613431898653607","105524.0181190993","1.4906666666666666","0","0","0","0","0","0","999999","0","0","999999999","""Too few cows""","3.11","4.626"
"1","""Experiment""","0","true","0","""feed""","0.7","""random""","0","""Average""","0","false","0","5475","50178.552552628265","5.721612317043901","0.6901811161875316","8.199681697715196","0.8818531102274507","221.7742910179165","3.052769542083724","5.907384455753835","1011.1220718740283","913.5877950575976","1933.0322330333595","2320.802669785102","1338.5719050985558","0.4669161180761828","0.8917148926640739","63.522990279634556","286.94502894559145","18.698110252591132","0.7634947753272616","44","0","-0.48428359561671963","1.4832702463864762","182682.9450167694","0.35427096774193545","0","0","0","0","0","0","999999","0","0","999999999","""Too few cows""","3.349","4.676"
"4","""Experiment""","0","true","0","""feed""","0.7","""random""","0","""Average""","0","false","0.54","5475","50777.248025004126","6.002713579463036","0.6571607488867982","7.899925306545599","0.8707488223696904","243.445269918565","3.146234645447393","6.007942483523429","1006.8949235030825","881.7811926937305","1893.8072586652145","2439.4095602330194","1397.7482635269303","0.49846595740117156","0.9430765807338648","63.28062744752546","286.7909166100717","17.17754824389051","0.7149403768246605","55","0","0.12839083272164248","0.8719775325512416","107875.52827217116","2.74752","0","0","0","0","0","0","999999","0","0","999999999","""too little average harvest""","3.447","5.033"
"16","""Experiment""","0","true","0","""feed""","0.7","""random""","10","""Average""","0","false","0.07","5475","47580.709848901","5.969763999814925","0.6633859293808616","7.986187822673871","0.9041533581734736","225.66005595314226","2.960271658608395","6.623460754387581","953.0993985565801","891.0912591671679","1835.6908926481372","2333.54621850298","1321.088911673359","0.47180642272525564","0.9003247206297997","60.50809902653419","307.0896470945969","17.133270209608067","0.7759276374971669","63","0","-0.2607811092402488","1.2597990430333694","146773.42538756802","1.7028571428571426","0","0","0","0","0","0","999999","0","0","999999999","""Too few cows""","3.744","4.837"
"23","""Experiment""","0","true","0","""feed""","0.7","""random""","10","""Average""","3","false","0.07","5475","51862.25667058454","5.898288383422842","0.7014582440247269","7.7302734739556245","0.8559912142999272","233.02206001002386","2.999588749375207","5.929797140181597","933.3939009305554","924.9031038958994","1956.0326355571224","2413.554193114495","1294.183204202347","0.4928611038388203","0.8721588534941478","66.12563046971972","299.34856308822833","17.924053246238188","0.7437014606847075","76","0","-0.3122596445775864","1.3081056546544536","119241.1606786851","5.157391304347826","0","0","0","0","21.26343134371597","0","999999","0","0","999999999","""Too few cows""","3.717","4.941"
"6","""Experiment""","0","true","0","""feed""","0.7","""random""","0","""Average""","0","false","0.95","5475","48466.79387462351","6.030297015435061","0.6532660983661434","7.718455816506231","0.9109786862183086","243.5450138996111","2.735319915726511","6.504079791570009","1021.1163754653271","946.0899378901071","2004.954203742829","2398.602818625307","1422.9536633389598","0.4723782730491324","0.8981737371289875","63.09208695429165","305.1949506351405","17.25794592573085","0.7391703145677444","80","0","0.5356936832996636","0.44971166045496197","35958.509424057054","499.44","0","0","0","0","0","0","999999","0","0","999999999","""Too few cows""","3.813","5.055"
"5","""Experiment""","0","true","0","""feed""","0.7","""random""","0","""Average""","0","false","0.85","5475","49136.843800997885","5.538898257782534","0.6764307016190296","7.706979160576065","0.8564810273804596","240.74731471852397","2.8074345973157415","6.258042449477168","988.6506436069144","928.4802410231923","1858.8351188159527","2324.1951797675883","1397.3191093347616","0.5063856631764099","0.9110386712657365","60.88549897349981","305.5006547398114","18.308124539535708","0.7197856965563427","82","0","0.3005843784295893","0.6960462346361392","51341.30500873541","511.91999999999996","0","0","0","0","0","0","999999","0","0","999999999","""Too few cows""","4.113","4.948"
"7","""Experiment""","0","true","0","""feed""","0.7","""random""","0","""Average""","0","false","1","5475","50418.46013492455","5.528694417884327","0.6531613219413924","8.059177845144237","0.8695856725509928","234.16463776767685","2.804618745563066","5.785090805327359","1009.5052596948215","925.9697488028157","1840.2288665953372","2279.6540314798904","1304.172477267949","0.5114601439860824","0.9443730218055542","64.72484965484394","292.7360626593441","18.270459165142427","0.7479501897298255","94","0","0.800176755071483","0.16339468148439037","4605.040716432374","586.8","0","0","0","0","0","0","999999","0","0","999999999","""Too few cows""","4.106","5.027"
"22","""Experiment""","0","true","0","""feed""","0.7","""random""","10","""Average""","3","false","0","5475","48738.65690496834","5.506880446291385","0.6397208613215998","8.226932609648232","0.864262011237549","231.28113403207803","3.021278902124806","5.954645661600226","1014.1412860144155","953.4078793261715","1863.7778361604549","2271.5513905593048","1399.550768520092","0.48851523472779096","0.9285432080010841","60.743935866144824","295.6011484264766","18.113721942051455","0.7663081689951156","83","0","-0.20417297988573319","1.202640074741002","84801.33489515362","21.589999999999996","0","0","0","0","14.894458789720582","0","999999","0","0","999999999","""Too few cows""","4.139","5.11"
"10","""Experiment""","0","true","0","""feed""","0.7","""random""","0","""Average""","3","false","0.22","5475","48586.29921356893","5.647395769913186","0.6632139534005831","7.933943889278892","0.8774213180151731","233.16139038912672","2.765441591891909","6.410644967193793","969.5516931698855","898.2225276242431","1850.5803436867482","2304.6580843838647","1323.9565291037889","0.5030836674517039","0.8652008956242924","61.304761623978735","307.12608145430687","18.330493664651485","0.7547613411820022","82","0","0.0010099209885344306","0.9989060466533899","73680.65146291799","51.192","0","0","0","0","14.651105509870819","0","999999","0","0","999999999","""Too few cows""","4.401","5.201"
"8","""Experiment""","0","true","0","""feed""","0.7","""random""","0","""Average""","3","false","0","5475","48030.131035136656","5.729210425977212","0.6719926385802378","7.985756181131038","0.8657846257685269","228.51337443895096","2.8683011152356777","6.314561367703386","1018.4265723484483","953.1895083143833","1980.4372452886626","2423.3572958215805","1327.3306003271102","0.48686437105900443","0.8980638088397995","63.66886746575146","286.9789259446192","18.52015691084563","0.7221916864975414","79","0","-0.2646564859483612","1.2627389145684205","104691.19160655302","13.7","0","0","0","0","14.807273791901743","0","999999","0","0","999999999","""Too few cows""","4.539","5.253"
"17","""Experiment""","0","true","0","""feed""","0.7","""random""","10","""Average""","0","false","0.22","5475","51582.89546288445","5.822028033648145","0.6962780081409411","7.911236152760104","0.8379028787650573","243.06786308084372","2.703059939902192","6.076716964020528","975.6342104617488","882.7612599567386","1859.0988776369277","2269.388582095639","1398.334506468206","0.5040271747489151","0.8872138311927155","64.98612634839881","282.02412289798235","17.98566180657972","0.7644610066021391","76","0","0.09849512204995572","0.9044954054163685","82449.82474208176","23.723999999999997","0","0","0","0","0","0","999999","0","0","999999999","""Too few cows""","4.681","5.187"
"15","""Experiment""","0","true","0","""feed""","0.7","""random""","10","""Average""","0","false","0","5475","47995.71614839971","5.788377103084482","0.6889472724026177","8.222284315757877","0.8970695430499191","236.33453185185286","3.145831714973077","5.966187172281353","939.0072248066602","938.0591788201689","2026.6396212397428","2408.7233682243827","1376.6838999488598","0.4960078485914129","0.9027739682619375","62.27155432527243","285.29696904776586","18.34637046446844","0.7698040924250786","94","0","-0.06280942366390135","1.0551124644789935","29736.80547738778","586.8","0","0","0","0","0","0","999999","0","0","999999999","""Too few cows""","4.522","5.19"
"24","""Experiment""","0","true","0","""feed""","0.7","""random""","10","""Average""","3","false","0.22","5475","48929.909270121796","5.7255111286590585","0.6925478271587691","7.89609884000158","0.8734025193226189","236.50608691592274","3.291307100098836","6.136334205658537","1022.1116170273158","939.2207435793147","1857.2060753077324","2280.7786452275473","1331.2196754744903","0.48698590943764464","0.9231517952077684","66.1331548934105","306.45456183918253","18.127816691204167","0.757105440029996","92","0","-0.08549463228654422","1.0775960998090544","39632.74403823182","143.57999999999998","0","0","0","0","5.698823106517199","0","999999","0","0","999999999","""Too few cows""","5.148","4.967"
"2","""Experiment""","0","true","0","""feed""","0.7","""random""","0","""Average""","0","false","0.07","5475","49846.52934535039","5.949322321050131","0.6928825071942574","7.773814819584387","0.8812590463032473","240.56579754929137","2.7110116761931673","5.749248146285143","1015.3064033464317","934.8392694170502","1859.1820708119396","2282.299441373717","1416.8640972101348","0.4974256101890326","0.8951447134372916","63.42936143984504","302.4446496082607","17.209156303992607","0.7376964831153866","94","0","-0.063226762027118","1.0585889470637613","29834.785067099107","293.4","0","0","0","0","0","0","999999","0","0","999999999","""Too few cows""","5.211","4.977"
"25","""Experiment""","0","true","0","""feed""","0.7","""random""","10","""Average""","3","false","0.54","5475","52024.54400606017","5.874490371711065","0.6726475572076959","7.931480487818992","0.8558410388594418","225.726711570809","3.110240559148126","6.466375143546978","992.6480567476642","882.2850900077191","1967.5401176182888","2301.320612900897","1412.3092233197558","0.4693002067863289","0.8605455782120827","61.905783623367846","296.4667640257043","18.371733036958204","0.7128047085317868","60","0","0.12828441425275053","0.8723253464420662","104642.20181169736","4.209438202247191","0","0","0","0","29.990030638893735","0","999999","0","0","999999999","""Too few cows""","1.24","4.178"
"27","""Experiment""","0","true","0","""feed""","0.7","""random""","10","""Average""","3","false","0.95","5475","49658.72155598546","5.788075535335689","0.6666332889906115","7.624682507536222","0.8630567843000801","243.3889704231046","2.9527219216788634","5.7164846466068955","935.0131442605906","882.816225448567","1835.0246082158594","2390.214806504853","1332.189189710126","0.4914417694643678","0.8655569749137391","61.234589694646324","290.4402358027452","17.587141964131934","0.7362551870316189","46","0","0.5812272580085024","0.4198049912336938","52125.14172642603","41.005714285714284","0","0","0","0","21.55010612521113","0","999999","0","0","999999999","""Too few cows""","1.093","4.334"
"31","""Experiment""","0","true","0","""feed""","0.7","""historical""","0","""Average""","0","false","0.22","5475","49722.16580690826","5.72732435071824","0.6790762485164116","8.024217200130249","0.885815361967114","241.73924460479728","2.869252789610878","6.499366635201609","975.7342472442107","961.527349760315","1897.6010303142982","2431.3558511291553","1418.1794294432293","0.5111534279951618","0.8928794954277419","63.8446782644704","297.9603097017431","18.893571173076687","0.74613453320571","38","0","-0.0507083024048777","1.0500537437295625","123650.24221569483","0.554018691588785","0","0","0","0","0","0","999999","0","0","999999999","""Too few cows""","0.942","4.239"
"26","""Experiment""","0","true","0","""feed""","0.7","""random""","10","""Average""","3","false","0.85","5475","48780.673912279664","6.0432100893375065","0.6911855308250396","8.371330294588624","0.8821950159486553","230.5124534687092","2.9299546348536167","5.7590273141819015","974.3087652299962","925.4980688651594","1964.659879218582","2214.218825615802","1415.2449803541517","0.49265534610882405","0.9417232481645521","63.77801808652991","295.828030805308","18.83086689698642","0.7798194967317853","69","0","0.40600223538172847","0.5884086229697689","62902.89659467201","86.16","0","0","0","0","34.44997601184269","0","999999","0","0","999999999","""Too few cows""","1.808","4.455"
"38","""Experiment""","0","true","0","""feed""","0.7","""historical""","0","""Average""","3","false","0.22","5475","50575.20073177149","5.800093720701593","0.660748485236593","7.8115628503631385","0.8420259368457046","220.51329551480052","2.9772936514835635","5.635545601866151","973.2300432219088","934.5718629652284","2014.5544880749608","2239.26263483675","1340.4787547435724","0.48255538636314044","0.8605696391432331","63.45270441603566","292.2341965648092","18.76439562694753","0.7468201953803258","45","0","-0.024006431542522095","1.0220590424680993","126442.66052246765","0.6701670644391408","0","0","0","0","18.551745953320477","0","999999","0","0","999999999","""Too few cows""","1.223","4.225"
"36","""Experiment""","0","true","0","""feed""","0.7","""historical""","0","""Average""","3","false","0","5475","50015.917388837624","5.727975904607883","0.6627119147372912","7.654315710012185","0.8534929601537138","229.35122312471444","3.1958570664478847","6.015289540947315","968.958928327495","906.3460068351441","1909.5881285955215","2281.0923213888655","1355.327101403895","0.4894561156306486","0.8759409582358747","63.154130562914794","303.19744550118276","18.568851541052048","0.7365584438426176","89","0","-0.1238575521474725","1.124543470514587","55015.539622910175","92.6","0","0","0","0","7.9969939529587535","0","999999","0","0","999999999","""Too few cows""","2.612","4.445"
