"BehaviorSpace results (NetLogo 5.2.1)"
"ZAPMM-2018-06-15_WithTimers.nlogo"
"OT_feed_vary_extr"
"06/16/2018 01:39:01:138 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","50","0","50"
"[run number]","model-mode","times-per-day-farmers-move-cows","invincible-fences","key-resources","subsidy","cow-proportion-to-save","rainfall-type","muonde-projects","rain-site","how-long-to-store-grain","use-muonde-thresholds","clumpiness","[step]","total-mud-crop-perimeter","wood-to-build-fence-per-meter","termite-activity","hours-to-plough-ha","crop-growth-slope","zero-crop-growth-intercept","muonde-efficiency","woodland-growth-slope","cow-maintenance-energy-rate","cow-working-energy-per-hour","kcal-per-kg-of-browse","kcal-per-kg-of-crop","kcal-per-kg-of-cow","production-efficiency","catabolism-efficiency","min-cow-mass","max-cow-mass","calf-birth-mass","livestock-not-reproduction-rate-per-year","proportion-crops","years-gone","morans-i","gearys-c","total-crop-perimeter","average-contiguous-crop-cluster-size","max-percentage-harvest-eaten","crop-eaten-per-cow-per-half-hour","subsidy-used","total-harvest","mean previous-harvests-list","max-livestock-number","min-livestock-number","actual-reproductive-rate","max-woodland-mass","min-woodland-mass","termination-reason","model-setup-time","model-run-time"
"23","""Experiment""","0","true","0","""feed""","0.7","""extreme""","10","""Average""","3","false","0.07","5475","50203.80284521724","5.785600367114326","0.6769845753039203","8.187016412746484","0.8759242224674955","226.68309155377278","3.1833696707643155","5.708724406428566","955.4403143621837","904.4352730521055","1878.9326498228575","2399.434980988214","1334.4262569559255","0.48090292709698446","0.912378774450003","61.802666616860535","287.8881373475031","18.028978777434165","0.7512716757538336","35","0","-0.3231342621350609","1.3209933898131088","150202.71102746448","0.32259970457902515","0","0","0","0","17.927440014619652","0","999999","0","0","999999999","""Too few cows""","2.893","4.725"
"19","""Experiment""","0","true","0","""feed""","0.7","""extreme""","10","""Average""","0","false","0.85","5475","51686.37176412313","5.843912037284395","0.6428055799584673","7.826498681956417","0.8750948085925215","227.07463044934028","3.1423536358804514","5.809751831384894","934.3393291833708","957.9950015467329","1904.2406647254306","2405.968750395485","1413.0714996576983","0.4909235730177045","0.8825311553161176","60.022515200207316","310.60443786852835","18.470845686073076","0.7267837973362523","50","0","0.40039215686274515","0.5993773134013313","74905.39633430958","14.868571428571427","0","0","0","0","0","0","999999","0","0","999999999","""Too few cows""","3.148","4.806"
"18","""Experiment""","0","true","0","""feed""","0.7","""extreme""","10","""Average""","0","false","0.54","5475","49770.893734802296","5.908845560454452","0.7029746107428092","7.673576262032376","0.866798983434322","226.81094676401943","2.9553353530827238","6.1170011872968235","992.5907316444459","905.4850947253638","1975.8717021030793","2358.5579966839196","1360.6389632408204","0.4877680904699464","0.9390861016853842","62.982061234137944","286.33880838560583","17.247707094700164","0.7789815688998669","56","0","0.15655733407237835","0.8428666270026669","103809.37529915108","2.79744","0","0","0","0","0","0","999999","0","0","999999999","""Too few cows""","3.44","4.67"
"8","""Experiment""","0","true","0","""feed""","0.7","""extreme""","0","""Average""","3","false","0","5475","51282.585943167935","5.516707621118585","0.6692389300557859","7.669217978359371","0.892857293991559","236.1839832471221","3.1301446335357674","6.6707863395923885","957.9810827162783","951.8045147473433","1852.4191032693623","2426.8773196233774","1339.8106711456594","0.4756557228132892","0.9346515974982024","61.16022867070923","301.4723250772849","17.620809858909144","0.7824987239656919","42","0","-0.5200493610153988","1.518862849807496","184936.47558012995","0.3086925795053003","0","0","0","0","17.442658652113817","0","999999","0","0","999999999","""Too few cows""","3.317","4.847"
"9","""Experiment""","0","true","0","""feed""","0.7","""extreme""","0","""Average""","3","false","0.07","5475","48050.56949764131","5.927477636596825","0.6938099777904361","8.215160828136568","0.8450686619326984","229.91347875461196","2.729759300073703","6.446876345732507","1006.1850686458959","899.1644784848002","1905.6737718188929","2211.0144722379196","1300.830958587694","0.4817553895133032","0.8711050889296613","63.33877948355326","283.36348024799935","18.597030362619645","0.7800055827053116","55","0","-0.29948617567898783","1.2992544433699467","160735.51692143214","0.8851546391752577","0","0","0","0","22.089527602697984","0","999999","0","0","999999999","""Too few cows""","3.361","4.857"
"24","""Experiment""","0","true","0","""feed""","0.7","""extreme""","10","""Average""","3","false","0.22","5475","51264.23333751092","5.89061405005702","0.685879479436419","8.159833543794774","0.8992768520288061","221.6218461526692","2.83712888282735","6.684757992174655","932.3348544172322","941.9239552526666","1867.1647409237735","2397.0560872560927","1305.6014215986606","0.48489871166681875","0.8691387230950829","63.851876447960855","294.05467502000505","18.60600382881157","0.7271365302158477","76","0","0.002838724041614491","1.0012328819314895","91267.98781610122","16.361379310344827","0","0","0","0","25.02168794550094","0","999999","0","0","999999999","""Too few cows""","4.042","4.889"
"22","""Experiment""","0","true","0","""feed""","0.7","""extreme""","10","""Average""","3","false","0","5475","52260.568728812585","5.7501865462663115","0.6910751119832395","8.22103567151693","0.8666701620077105","232.2541393023594","3.017216065052104","6.280346835605948","970.276169241714","925.605947058793","1856.32700701772","2221.8130014424078","1391.3015108767152","0.49401972487943063","0.8796752116232981","64.05993739875014","291.1077099279818","17.370776800241483","0.7801781294609678","92","0","-0.08528142871475758","1.0762640897969207","39583.754243376156","287.15999999999997","0","0","0","0","7.095119416524627","0","999999","0","0","999999999","""Too few cows""","4.198","4.965"
"2","""Experiment""","0","true","0","""feed""","0.7","""extreme""","0","""Average""","0","false","0.07","5475","48956.39608615359","5.965811297078599","0.6653642633575343","8.200537352936257","0.8542638681598977","229.4959777635172","2.8879594171505514","6.761681482996871","997.1895438716008","942.3535044791349","2011.3041996100073","2372.661664122369","1308.6498004630014","0.49204198994969944","0.9251241635159179","65.8018426204453","306.7683372143892","18.64325103518842","0.7499787065288254","74","0","-0.31922681166544786","1.316523408132602","126589.62990703464","4.358490566037736","0","0","0","0","0","0","999999","0","0","999999999","""Too few cows""","3.975","5.171"
"12","""Experiment""","0","true","0","""feed""","0.7","""extreme""","0","""Average""","3","false","0.85","5475","50746.05190304078","5.681440208962902","0.6539431594964316","7.881549940352489","0.8536287898188347","222.88839059361325","3.0876286042466266","5.923620924238079","971.5593999838628","933.3602450499219","1851.8951989539555","2234.557727707688","1417.1269325761064","0.5127063759572383","0.9059034783167017","61.516793180581324","302.0786173736009","18.76283574499948","0.7271263014304643","92","0","0.3127696398113565","0.6593449560018355","24249.94845355346","574.3199999999999","0","0","0","0","7.369758039334799","0","999999","0","0","999999999","""Too few cows""","4.597","4.949"
"1","""Experiment""","0","true","0","""feed""","0.7","""extreme""","0","""Average""","0","false","0","5475","50334.6536652343","5.636333468293631","0.6669105827712245","8.268346381383653","0.8878400013883845","229.0866400898837","3.174400338646742","6.465552212340059","952.2713078061305","960.8147725200956","2003.798352891461","2254.6587594494795","1408.8434203687548","0.4736208973981367","0.9396902966974348","63.38246717132798","287.48053220067357","17.86997502627539","0.7287083324724626","92","0","-0.08698705728905197","1.0869201698939328","39975.672602221464","287.15999999999997","0","0","0","0","0","0","999999","0","0","999999999","""Too few cows""","4.664","4.887"
"5","""Experiment""","0","true","0","""feed""","0.7","""extreme""","0","""Average""","0","false","0.85","5475","51941.574689945955","5.851437018271056","0.6496232821517472","8.086072498828871","0.8648755657651085","227.14730948288332","3.1347961781380134","6.074508210510965","1014.9060546049362","946.6173732686649","1873.8960773045692","2235.115459143892","1303.2973793084627","0.5134922826591111","0.9349467230939962","65.91751061503196","281.6063332016499","18.045391898620508","0.7830124137996279","96","0","0.33835996218009806","0.6382659151704192","12247.44871391589","599.28","0","0","0","0","0","0","999999","0","0","999999999","""Too few cows""","4.955","4.88"
"11","""Experiment""","0","true","0","""feed""","0.7","""extreme""","0","""Average""","3","false","0.54","5475","51549.19935706168","5.8383016120902615","0.6984954508008061","8.142713570075848","0.839522916305413","242.43813560247025","2.9856719591019307","6.226399438928614","981.190826737753","888.6913570125778","1893.0617837791951","2302.1973926825167","1292.242823294597","0.4909270701035227","0.9199474954386611","64.65229836677356","291.3721884043423","17.495799529987202","0.7738195898008029","96","0","0.27931042771750614","0.7301762069549709","14011.081328719778","599.28","0","0","0","0","2.5729939457521374","0","999999","0","0","999999999","""Too few cows""","5.345","4.772"
"7","""Experiment""","0","true","0","""feed""","0.7","""extreme""","0","""Average""","0","false","1","6570","47696.16856624156","5.794498815464327","0.640831241369039","7.753412611928121","0.8758317224760419","222.1737683548397","3.2102786622715778","6.565177592121986","994.9115242090126","949.6843700084967","1848.6842680714126","2218.0238639216577","1329.0102355315375","0.5114366706660386","0.8866284582848835","64.54718076738222","287.3526402514083","17.334511725529246","0.7731636924054133","34","1","0.9279105538529655","0.07294699502666342","8181.295740895815","212.16","0","0","677811.7321147076","57.91456383695061","0.01074050427737995","33","19","0.2974547200444745","502.0900108024586","56.173922489371236","""too little average harvest""","2.406","10.803"
"20","""Experiment""","0","true","0","""feed""","0.7","""extreme""","10","""Average""","0","false","0.95","6570","50527.27958983009","5.497687755477067","0.6951358087186076","7.886373079480187","0.8560317934195149","226.93545263164333","2.7359488033023327","6.140584014380738","944.2210961161708","935.2000557802098","1949.6848051380628","2374.3334877227653","1390.7716816211955","0.4925177641431239","0.9388920794896678","61.37826782723118","283.1573427818507","18.68924372320392","0.7654631631796007","7","1","0.691068260460406","0.3026929630280497","9846.948765988376","7.279999999999999","0","0","998717.4215696461","13.570044363622122","0.01668147671018658","56","38","0.2206726990588662","463.8797862396068","26.72514500872147","""too little average harvest""","1.864","11.988"
"30","""Experiment""","0","true","0","""feed""","0.7","""statistical-extreme""","0","""Average""","0","false","0.07","5475","51131.51700275138","5.879800857280574","0.6417784531583758","7.904569182540321","0.9157433815165842","223.96887675112825","2.8147312401137925","5.979676507737605","956.4880164490256","883.6761831790546","1962.1516943472227","2416.3629914622556","1358.9742135831434","0.48857306655624644","0.8628618080859168","62.11307685932424","285.12194526916005","17.853712008757647","0.736762195193998","43","0","-0.3378371997328681","1.3368014316248376","163772.88420248328","0.420564263322884","0","0","0","0","0","0","999999","0","0","999999999","""Too few cows""","0.954","4.271"
