"BehaviorSpace results (NetLogo 5.2.1)"
"ZAPMM-2018-06-15_WithTimers.nlogo"
"OT_nosub_const"
"06/16/2018 01:39:40:921 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","50","0","50"
"[run number]","model-mode","times-per-day-farmers-move-cows","invincible-fences","key-resources","subsidy","cow-proportion-to-save","rainfall-type","muonde-projects","rain-site","how-long-to-store-grain","use-muonde-thresholds","clumpiness","[step]","total-mud-crop-perimeter","wood-to-build-fence-per-meter","termite-activity","hours-to-plough-ha","crop-growth-slope","zero-crop-growth-intercept","muonde-efficiency","woodland-growth-slope","cow-maintenance-energy-rate","cow-working-energy-per-hour","kcal-per-kg-of-browse","kcal-per-kg-of-crop","kcal-per-kg-of-cow","production-efficiency","catabolism-efficiency","min-cow-mass","max-cow-mass","calf-birth-mass","livestock-not-reproduction-rate-per-year","proportion-crops","years-gone","morans-i","gearys-c","total-crop-perimeter","average-contiguous-crop-cluster-size","max-percentage-harvest-eaten","crop-eaten-per-cow-per-half-hour","subsidy-used","total-harvest","mean previous-harvests-list","max-livestock-number","min-livestock-number","actual-reproductive-rate","max-woodland-mass","min-woodland-mass","termination-reason","model-setup-time","model-run-time"
"23","""Experiment""","0","true","0","""no""","0","""constant""","10","""Average""","3","false","0.07","5475","49808.32065992445","5.766461030936848","0.6942987079564221","7.918849276799218","0.888484339264512","235.19156740510283","2.9555057636913036","6.006037197825205","948.3442468604298","914.6480236150891","1949.4019946385529","2358.894719305311","1403.043609577023","0.5015255093356111","0.9021958437539268","63.04723559027084","298.2097834956511","18.731542607646386","0.7578474976189862","31","0","-0.25038072861506383","1.2478478818899386","133399.21139197188","0.3181578947368421","0","0","0","0","15.380044117567664","0","999999","0","0","999999999","""Too few cows""","2.972","4.453"
"8","""Experiment""","0","true","0","""no""","0","""constant""","0","""Average""","3","false","0","5475","49629.55595132811","5.906817362242342","0.6462848351814424","7.62141042379369","0.8485773541757444","229.41721237569368","2.875528135514625","5.745312885063989","1003.1408412876272","960.618161640681","1856.6962070433856","2316.1121472531017","1327.0957414429442","0.47271548004042163","0.9147754979606535","59.97185165747993","283.84599557152274","17.455888085441128","0.7496301813075225","37","0","-0.5839706537595147","1.5823176898980569","184348.598041862","0.24","0","0","0","0","14.935828394320477","0","999999","0","0","999999999","""Too few cows""","3.05","4.632"
"19","""Experiment""","0","true","0","""no""","0","""constant""","10","""Average""","0","false","0.85","5475","51122.02718385319","5.808134195107973","0.680197747355865","7.964786539476471","0.8660582828213064","222.40444253015454","2.988782816391522","6.027777819889472","975.4472702348115","918.839109793567","2024.7668890392615","2356.3517555415337","1299.7507249632838","0.4919847504856738","0.8840964098356365","61.793007105496905","288.4429230217836","17.661357841637503","0.7618975132596828","64","0","0.3391433744302193","0.65898392918284","75885.19223142286","49.949999999999996","0","0","0","0","0","0","999999","0","0","999999999","""Too few cows""","3.774","4.69"
"22","""Experiment""","0","true","0","""no""","0","""constant""","10","""Average""","3","false","0","5475","47931.49866399646","5.845719507220555","0.6896754831640393","7.673191492106774","0.863769553731968","236.5009990663609","2.9285738737297433","6.328008585154382","1027.2678225247373","940.1800161292339","2027.1191501055498","2251.53364745863","1407.740959448386","0.48180888742799555","0.8872305205305898","61.10328904588317","304.77230166419685","17.647174915753855","0.7356853704979346","74","0","-0.348258551339199","1.3450548751819136","129333.0584189518","3.3237410071942444","0","0","0","0","25.41147765239252","0","999999","0","0","999999999","""Too few cows""","3.65","4.895"
"20","""Experiment""","0","true","0","""no""","0","""constant""","10","""Average""","0","false","0.95","5475","49358.896772066466","5.714122934955615","0.7015536087988091","7.9084050267678085","0.8606665566302887","242.4851283546863","2.911723174686812","6.156231416085878","943.1029990392676","945.1373687865004","1922.3816310713914","2269.0199075442165","1360.821993557654","0.5037551762395147","0.8988470280068469","62.57342097428134","293.99484980839145","18.045427580848955","0.7134866420900725","63","0","0.5340052052394124","0.46422501452231013","54084.73352065257","393.36","0","0","0","0","0","0","999999","0","0","999999999","""Too few cows""","3.78","4.806"
"5","""Experiment""","0","true","0","""no""","0","""constant""","0","""Average""","0","false","0.85","5475","48064.575135680425","5.520962124662454","0.6606445242523565","7.806991777979295","0.8543887431602407","235.98981317217343","2.899262482430622","6.498657051693806","1007.8030431510159","874.8816158790873","1971.2981320200895","2297.6966527721365","1302.5565408959653","0.4853697480192253","0.9263087490428239","64.35218306570889","306.93760097885274","18.224902139149535","0.7489883016338267","67","0","0.34551486176035995","0.650810988961975","71917.01884811411","41.832","0","0","0","0","0","0","999999","0","0","999999999","""Too few cows""","3.792","4.971"
"15","""Experiment""","0","true","0","""no""","0","""constant""","10","""Average""","0","false","0","5475","48303.649044146805","5.7528308002673985","0.6577613160927913","8.24712052043074","0.8648031383120454","242.98625750074143","3.153057007745404","6.599405641122404","997.742985648342","929.9809699890103","1957.632452118941","2362.112345498521","1381.0492909845254","0.47458870246371687","0.8942088090992767","60.12708414771457","290.62029217929603","17.83721834020371","0.7665157897318742","79","0","-0.26490475657307927","1.2633298078368165","104740.18140140868","7.828571428571428","0","0","0","0","0","0","999999","0","0","999999999","""Too few cows""","3.953","4.828"
"1","""Experiment""","0","true","0","""no""","0","""constant""","0","""Average""","0","false","0","5475","49135.57596500721","5.873469716444221","0.6666184304601678","7.8008742909093565","0.8309489052668019","223.0589916758087","2.7809656507955505","6.837805223878326","943.6885069605752","962.3400656221595","1921.3564912193808","2328.460484225715","1303.5614717529324","0.4712962398710058","0.9084769900024159","65.44630973151877","291.82428889519736","18.682723896770476","0.7261825150866126","71","0","-0.40495263474321086","1.4020405030513694","144274.94584992918","2.6703614457831324","0","0","0","0","0","0","999999","0","0","999999999","""Too few cows""","4.075","5.212"
"17","""Experiment""","0","true","0","""no""","0","""constant""","10","""Average""","0","false","0.22","5475","47804.00860285724","5.92663221075807","0.6630238952455823","8.20615771666716","0.9063218403023359","241.09118452191058","2.8655278456411826","5.624515845421844","943.620425899112","880.3934311499833","1840.0668021211595","2378.4478505960515","1327.306892660841","0.46753469297630407","0.9280633904919564","64.68603690429627","296.6026822836247","18.720121050634255","0.7516473051174726","71","0","0.03026143201249317","0.9711927423513715","99939.18150555366","9.636521739130433","0","0","0","0","0","0","999999","0","0","999999999","""Too few cows""","4.472","4.853"
"10","""Experiment""","0","true","0","""no""","0","""constant""","0","""Average""","3","false","0.22","5475","51597.595026894414","5.511390086449593","0.6389057107238569","8.159755040194288","0.8319401468995039","243.1913613119779","2.9260096988166744","6.273580544401976","992.9728549219243","945.8615329765904","1922.7553350220205","2320.2346869084695","1389.4327355943342","0.48986810475684117","0.9428202409310488","59.89803376692479","298.18893708951634","18.04478809006189","0.7209327930255265","84","0","-0.039986768368617615","1.0394021446392763","69810.45766932057","40.33846153846154","0","0","0","0","13.383788547064286","0","999999","0","0","999999999","""Too few cows""","4.293","5.062"
"18","""Experiment""","0","true","0","""no""","0","""constant""","10","""Average""","0","false","0.54","5475","48442.55989693532","5.499858814812376","0.6452457935585566","7.724501321228709","0.8616173265703508","231.9185667481097","2.7609823567744094","5.923425772471012","1009.4683319935472","893.7253046690237","2010.3395715305742","2280.237381333139","1422.4467489878116","0.5022363248303303","0.8964502288460604","63.27561406304192","295.0166161429295","17.902638826367934","0.7802406636882369","83","0","0.22666425721791678","0.780222301521745","55015.539622910175","64.77","0","0","0","0","0","0","999999","0","0","999999999","""Too few cows""","4.569","4.909"
"12","""Experiment""","0","true","0","""no""","0","""constant""","0","""Average""","3","false","0.85","5475","49430.11930366257","5.520090708456234","0.6653416775776179","8.116289835591996","0.8427376884778514","238.35312441877207","2.940145110483974","6.121244470532485","984.8635409800573","897.5412260804152","1834.5262997931036","2262.410245570834","1296.2873215555555","0.49555394747616643","0.9455891111893199","60.922117437420304","306.7541258821982","17.326165629328862","0.7403785183906508","85","0","0.349360903106118","0.6512437641014329","41494.35624274704","530.64","0","0","0","0","13.175611224399336","0","999999","0","0","999999999","""Too few cows""","4.368","4.954"
