"BehaviorSpace results (NetLogo 5.2.1)"
"ZAPMM-2018-06-15_WithTimers.nlogo"
"OT_nosub_vary"
"06/16/2018 01:39:54:413 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","50","0","50"
"[run number]","model-mode","times-per-day-farmers-move-cows","invincible-fences","key-resources","subsidy","cow-proportion-to-save","rainfall-type","muonde-projects","rain-site","how-long-to-store-grain","use-muonde-thresholds","clumpiness","[step]","total-mud-crop-perimeter","wood-to-build-fence-per-meter","termite-activity","hours-to-plough-ha","crop-growth-slope","zero-crop-growth-intercept","muonde-efficiency","woodland-growth-slope","cow-maintenance-energy-rate","cow-working-energy-per-hour","kcal-per-kg-of-browse","kcal-per-kg-of-crop","kcal-per-kg-of-cow","production-efficiency","catabolism-efficiency","min-cow-mass","max-cow-mass","calf-birth-mass","livestock-not-reproduction-rate-per-year","proportion-crops","years-gone","morans-i","gearys-c","total-crop-perimeter","average-contiguous-crop-cluster-size","max-percentage-harvest-eaten","crop-eaten-per-cow-per-half-hour","subsidy-used","total-harvest","mean previous-harvests-list","max-livestock-number","min-livestock-number","actual-reproductive-rate","max-woodland-mass","min-woodland-mass","termination-reason","model-setup-time","model-run-time"
"8","""Experiment""","0","true","0","""no""","0","""random""","0","""Average""","3","false","0","5475","47878.4270949524","5.7703659031105525","0.6590348660465396","7.918702732926287","0.8375609883622493","231.15479913872144","3.202840459531829","6.300107760344367","989.1518209928071","906.4277661671589","1942.5273329666654","2210.071046094751","1327.4531579245172","0.4712294085682356","0.898317919181332","61.76453750097535","294.98526757501304","18.891379388554405","0.7833194833916268","61","0","-0.40558995338714304","1.4041004925598983","166957.2208681014","1.1235398230088496","0","0","0","0","24.180882199200763","0","999999","0","0","999999999","""Too few cows""","3.556","4.517"
"4","""Experiment""","0","true","0","""no""","0","""random""","0","""Average""","0","false","0.54","5475","49933.56392845044","6.007270782571347","0.6433983247465432","7.729523206577811","0.8819977157552955","232.8803863193523","2.896096641996797","6.485212836980209","980.6395956167671","893.9397548935921","1884.1743522823544","2268.8167946488556","1377.2805212509058","0.4750775966180896","0.931301868516563","60.369865787243505","290.542553586534","18.577960892224734","0.7443682556254043","47","0","0.11316524379713","0.88641927497335","110374.00780981","1.7457142857142856","0","0","0","0","0","0","999999","0","0","999999999","""Too few cows""","3.445","4.611"
"9","""Experiment""","0","true","0","""no""","0","""random""","0","""Average""","3","false","0.07","5475","47921.52915673546","5.815481969356359","0.6535586068754266","8.075813492793046","0.8847593147020343","222.87419367508107","2.7078687735846194","5.902116686662722","998.6769487837362","887.665760256018","1917.1611603148285","2221.722375631745","1355.181681545695","0.4965329414880622","0.9000908727720126","62.660586509124144","281.3717134284869","17.491129120367454","0.7241360461879118","48","0","-0.31320056488820913","1.3126153050044682","163772.88420248328","0.5546666666666666","0","0","0","0","20.636255881702002","0","999999","0","0","999999999","""Too few cows""","3.64","4.716"
"15","""Experiment""","0","true","0","""no""","0","""random""","10","""Average""","0","false","0","5475","49146.89383014186","5.764177076191251","0.6917472157243458","8.087107626027654","0.8680478703985046","227.38398213303367","2.768056299056849","5.854278083762582","936.2131412510691","876.8746440680175","2007.026576338102","2407.6354164578083","1415.3903184673488","0.4841766953112415","0.8807603011167894","59.98324622886862","307.75085536792807","18.05145654295398","0.7358794953765722","34","0","-0.5128704102916789","1.5113569029476372","169504.6902005959","0.24","0","0","0","0","0","0","999999","0","0","999999999","""too little average harvest""","2.831","5.578"
"23","""Experiment""","0","true","0","""no""","0","""random""","10","""Average""","3","false","0.07","5475","48293.12570021477","5.821205655680448","0.6511976411314502","8.273653651245866","0.8938808079001194","225.70342656133107","3.195558566654428","6.530408425793093","949.0838288285411","956.266237524753","1884.3316631757787","2215.118775585742","1403.8558460349557","0.5063879078966832","0.9171170193771417","60.60040537484581","296.5756930886501","18.702076775459286","0.772827483891228","69","0","-0.25407574229720414","1.2538052900664232","134036.0787250955","4.308","0","0","0","0","36.256232650985","0","999999","0","0","999999999","""Too few cows""","3.825","4.567"
"22","""Experiment""","0","true","0","""no""","0","""random""","10","""Average""","3","false","0","5475","49806.11369322608","5.8738980997190025","0.6814011642713639","7.888011024026332","0.8402383428879749","226.6056524254267","2.9283506870681735","5.859987771265243","956.6495597287238","887.4275406546203","1898.7787631997446","2395.2920871522238","1331.617090627667","0.4958720207864639","0.888283769312169","65.88689598799246","295.0625697186856","17.85453186772026","0.7664441154509625","60","0","-0.41475903614456855","1.4134447678071125","169553.6799954516","1.0236065573770492","0","0","0","0","28.91629993117598","0","999999","0","0","999999999","""Too few cows""","3.56","5.058"
"2","""Experiment""","0","true","0","""no""","0","""random""","0","""Average""","0","false","0.07","5475","49297.61911909426","6.052802090679448","0.6881769708218912","7.9267555881809395","0.869135491508288","233.37878024643902","2.7252669028807928","6.436975684604892","989.4069104549992","962.5831654068238","1884.7339750876924","2259.278661880616","1388.470695822672","0.4880133795098244","0.9339178335094674","64.2587945096555","303.851014203916","17.79512041035143","0.7188823434145758","51","0","-0.3150091825888194","1.3145500493769473","164213.79235618425","0.6539630390143737","0","0","0","0","0","0","999999","0","0","999999999","""too little average harvest""","3.601","5.104"
"17","""Experiment""","0","true","0","""no""","0","""random""","10","""Average""","0","false","0.22","5475","50743.46766656189","5.531117053622575","0.6500851967279319","7.804731667980326","0.9086869189018744","239.30223907166967","3.1043328888506068","6.515915548787017","998.4062655107829","947.6207335614073","1846.7491036495928","2341.2577567751537","1306.9169120988095","0.46814589810739476","0.9246073460362425","63.65944199751212","309.78762227975653","18.763070872384457","0.7217065602629665","51","0","-0.042566687810904905","1.0423848541897145","130214.87472635374","0.9022096317280454","0","0","0","0","0","0","999999","0","0","999999999","""Too few cows""","3.64","4.97"
"12","""Experiment""","0","true","0","""no""","0","""random""","0","""Average""","3","false","0.85","5475","49533.09972721057","6.047689911685235","0.6748494769989662","8.344016152193758","0.9152173860428141","235.00116887112142","2.8814611967561303","6.446636932270966","977.101433917924","917.3856847269384","1862.3890689419934","2315.55865016883","1362.1269005439317","0.4702749758079371","0.9400414612704598","62.256956684331264","310.21881039168466","18.79659488596831","0.7249594916627646","71","0","0.3694999907550057","0.6250863091702702","64323.60064548625","55.41","0","0","0","0","30.350620984810824","0","999999","0","0","999999999","""Too few cows""","4.261","4.771"
"5","""Experiment""","0","true","0","""no""","0","""random""","0","""Average""","0","false","0.85","5475","49458.5557545905","6.002221340585304","0.7013329070372993","8.234830851609612","0.8488458987522278","222.83838870811374","2.8358805925202986","5.8288793206379035","971.3753812336827","899.862423550029","1932.6194557438384","2253.6256024755958","1298.4804999384169","0.4765849145265999","0.8653477494742299","64.90083585873295","284.02164490520795","18.29121707168834","0.7501122608824764","73","0","0.3461110496516471","0.6525071318329376","64274.61085063059","151.92","0","0","0","0","0","0","999999","0","0","999999999","""Too few cows""","4.207","5.004"
"16","""Experiment""","0","true","0","""no""","0","""random""","10","""Average""","0","false","0.07","5475","47821.09999537012","5.591436307706725","0.6691028095228361","8.21431936683413","0.8870916099113686","224.45356092936578","2.745909670152768","5.603244603447102","1020.3582522405682","962.2341955402701","2013.8734457823587","2275.8888691335214","1423.596751901536","0.4795019148033693","0.9266173042929594","63.469267559160066","285.5233571044006","18.55531399885598","0.7569595672897411","73","0","-0.2948954106165677","1.2925808198428386","127324.47682986959","4.6036363636363635","0","0","0","0","0","0","999999","0","0","999999999","""Too few cows""","4.26","4.94"
"10","""Experiment""","0","true","0","""no""","0","""random""","0","""Average""","3","false","0.22","5475","48073.68453144678","6.03396906138365","0.6566978620800495","8.097100453711992","0.8859008268887657","239.59408077108083","2.7986577404030686","5.884925759423424","997.4497813971828","889.566912002263","1966.7569382307624","2326.820909947754","1308.6592645231638","0.4916073898947483","0.9421332818363486","63.08220077936033","309.67615774776687","18.634342596566373","0.7419731806048584","80","0","0.04069800980674767","0.9606919395005155","76815.99833368046","33.29599999999999","0","0","0","0","15.556554068234975","0","999999","0","0","999999999","""Too few cows""","4.688","4.986"
"6","""Experiment""","0","true","0","""no""","0","""random""","0","""Average""","0","false","0.95","5475","48106.50920916958","5.868245759677394","0.6739504904416541","8.199243332172225","0.8860444933834695","240.03607808445287","3.2906123973363126","6.048660980993323","991.5796814880756","882.2467957740433","1987.8728439416818","2402.801972370599","1388.6525006485551","0.46789440177842473","0.8955396794199293","65.74662417757966","282.71272620017953","17.865284949694924","0.7267426115301278","75","0","0.49215228816818357","0.5045104825675943","47275.152035715335","468.24","0","0","0","0","0","0","999999","0","0","999999999","""Too few cows""","4.639","5.087"
"1","""Experiment""","0","true","0","""no""","0","""random""","0","""Average""","0","false","0","5475","49640.29760949117","5.823098589620682","0.6434049394201128","8.101994066741119","0.8535207390609711","228.64192152283275","2.9542717133107548","6.35101311483878","1027.0402706641032","963.8865982854934","1894.8348481159755","2257.842475387913","1311.5283974377023","0.49778258340788945","0.9183666520341005","65.74555985599218","305.6275809905216","18.37741056038145","0.7153463825604297","92","0","-0.08528142871475783","1.0762640897969362","39583.754243376156","574.3199999999999","0","0","0","0","0","0","999999","0","0","999999999","""Too few cows""","4.852","4.87"
"3","""Experiment""","0","true","0","""no""","0","""random""","0","""Average""","0","false","0.22","5475","51467.513147082536","5.538982288397443","0.6611831802644268","8.195062665846102","0.8491056125682845","228.5927022466604","3.277991809401603","6.432600875756276","945.520768895769","948.8559585716581","1866.012838655726","2243.82163111224","1314.4343819881374","0.47629910719952717","0.9033949329095963","65.69261819182431","281.8753911035899","17.555329577569285","0.7751458062165717","82","0","0.021793031857848692","0.978981059020677","72210.95761724809","73.13142857142857","0","0","0","0","0","0","999999","0","0","999999999","""Too few cows""","5.079","4.806"
"11","""Experiment""","0","true","0","""no""","0","""random""","0","""Average""","3","false","0.54","5475","51973.367899392484","5.9181148831759645","0.6917297591032451","8.109917097152218","0.8364856264687989","239.55457861321085","2.846961632381677","6.347239786950108","945.0971733156309","880.9614053955811","1861.3849347953872","2360.5476315174496","1343.393605801978","0.4787676644927615","0.8671065413906754","61.997311345478366","293.0729474026778","18.548879804055506","0.7737184861128059","86","0","0.24240751601291283","0.7670029830064939","46148.38675403508","134.22","0","0","0","0","11.006223508775866","0","999999","0","0","999999999","""Too few cows""","4.99","4.933"
"19","""Experiment""","0","true","0","""no""","0","""random""","10","""Average""","0","false","0.85","6570","51818.542028458745","5.886515489470288","0.6683051945512561","7.8076146021260975","0.9160334689781091","242.40994309265665","3.246231081021647","6.2134198101368305","987.8110315613014","908.7761687548295","1845.1427144765457","2314.327067795244","1374.7520946375355","0.48049075568598876","0.8997930626362768","66.05630210747795","300.6753223679616","17.357671929320887","0.7349348551570828","35","1","0.4087775566345075","0.5915603144857778","67262.98833682606","4.646808510638297","0","0","0","71.09811623672921","0.003615281198161773","2","2","0.07409161648284728","6545.288956264146","6132.44936997974","""too little average harvest""","2.976","7.65"
"18","""Experiment""","0","true","0","""no""","0","""random""","10","""Average""","0","false","0.54","6570","49750.12283013153","5.936322875910499","0.6948167741427435","7.628563595397434","0.8371541228848156","243.41137135379356","3.1990540250375297","5.712153760493618","933.9880640845759","878.7800904493978","1844.0981952968114","2221.6324712232704","1381.4399943171245","0.4920984224658648","0.9099774797335256","63.076831596599625","282.8261408595273","18.68343799893771","0.7394154601499459","36","1","0.13264758425661263","0.8665915195257872","99792.21212098667","1.021090909090909","0","0","0","66.64995661068883","0.013619800986375157","8","5","0.2252700154294531","5192.9243856355415","5081.407307558967","""too little average harvest""","2.981","8.083"
"29","""Experiment""","0","true","0","""no""","0","""extreme""","0","""Average""","0","false","0","5475","49270.42545543044","5.519797374448326","0.6858945617850262","7.898131580432278","0.8761457495942352","235.99104528637318","2.794637026573426","5.751939276573827","951.3327180465147","937.1123905402281","1941.116224303237","2333.2238573371183","1358.6976620226746","0.497576095458895","0.9446737726765971","60.36655775396348","304.6451706770044","17.530891843342204","0.7140193474247652","46","0","-0.47323588394488625","1.4724738978234428","182829.9144013364","0.39159618008185537","0","0","0","0","0","0","999999","0","0","999999999","""Too few cows""","1.031","4.27"
"32","""Experiment""","0","true","0","""no""","0","""extreme""","0","""Average""","0","false","0.54","5475","51667.733189777624","6.004492297650284","0.6389425176674052","8.14681338004541","0.9096477685541854","224.72855766291025","2.8823887907846215","5.702765706911473","944.3563744388404","948.7851858649041","1920.8916561584458","2336.0683473512245","1335.982084526554","0.5056364807706937","0.8861797969201459","59.85097575282443","288.179770950333","18.45800617468013","0.7459734851066278","50","0","0.11411764705882353","0.8855417599565777","110667.94657894399","2.0678145695364236","0","0","0","0","0","0","999999","0","0","999999999","""Too few cows""","1.119","4.148"
"26","""Experiment""","0","true","0","""no""","0","""random""","10","""Average""","3","false","0.85","5475","51406.01299878853","5.877045829139754","0.6813031554048266","8.001399528059807","0.9164328807324216","222.18998886230085","3.20885449757526","6.366924026280599","967.1514672147324","958.6882275638794","1924.264097015758","2250.2493013727694","1331.1455575580758","0.49797117499431526","0.9132139998133082","62.65701136484375","287.5607476117478","18.51680244071365","0.7820632225754497","78","0","0.3730176303269819","0.6238182454128287","53496.85598238461","162.32","0","0","0","0","33.134269562463786","0","999999","0","0","999999999","""Too few cows""","2.08","4.468"
"37","""Experiment""","0","true","0","""no""","0","""extreme""","0","""Average""","3","false","0.07","5475","48503.01354628346","5.7097425550323795","0.6725015942950037","7.956836088235602","0.8699128069952394","237.45221858997286","3.2905855453152695","5.791788506422733","943.2006051992713","936.5810776246384","1860.9914635309192","2232.549658312282","1292.7504688905178","0.49799976830114306","0.9453292191970554","61.07449733403091","307.0481122091793","17.632241732940273","0.7205209155016843","59","0","-0.26066331048670655","1.2605146873804636","152407.25179596932","1.3299638989169673","0","0","0","0","23.78697442717227","0","999999","0","0","999999999","""Too few cows""","1.293","4.395"
"36","""Experiment""","0","true","0","""no""","0","""extreme""","0","""Average""","3","false","0","5475","50208.930979757504","5.79719144212088","0.6733936349280087","8.390520644555691","0.8887439964307344","224.40308726288714","2.952889195042076","5.741400812156833","947.433492249708","948.1900512230623","2013.083537618904","2380.64536182965","1421.2821801508783","0.4809054220264777","0.9391230849636832","64.50269271100369","296.89064564766386","18.43353315309465","0.7661271155500868","70","0","-0.4247431742020698","1.4218011180373784","149222.9151303512","2.3496774193548386","0","0","0","0","23.73468171142366","0","999999","0","0","999999999","""Too few cows""","1.571","4.733"
"39","""Experiment""","0","true","0","""no""","0","""extreme""","0","""Average""","3","false","0.54","5475","47926.65303059431","5.633654194421188","0.6584517375871134","8.05788091945863","0.8881042552598949","237.08351534511758","3.146153456371326","5.750310739582532","973.8522808310024","898.2837295957651","1845.2519877784084","2224.7629824306755","1404.630434843493","0.4997348787492465","0.8939563349386398","65.16210611376752","290.602820802121","18.85344575814423","0.726159154662818","74","0","0.2072792817858379","0.7963336249656523","76571.04935940214","21","0","0","0","0","21.364943678423046","0","999999","0","0","999999999","""Too few cows""","2.05","4.487"
"43","""Experiment""","0","true","0","""no""","0","""extreme""","10","""Average""","0","false","0","5475","48032.12321794133","5.918352562437395","0.6450276832134847","8.18239724323442","0.915110477677749","226.4371638286665","3.0289562233932203","6.015692910154993","991.7162132855709","943.7162971622853","2026.9068179644958","2238.257127779411","1294.7872524969741","0.48892055142278334","0.8975134283632002","66.00097752329879","305.9939986277173","17.7603417665888","0.7447371912482728","31","0","-0.4462439600738043","1.4439840895465275","154366.84359019587","0.24","0","0","0","0","0","0","999999","0","0","999999999","""Too few cows""","0.666","3.954"
"44","""Experiment""","0","true","0","""no""","0","""extreme""","10","""Average""","0","false","0.07","5475","50023.88302383911","5.6950314646999365","0.6752026145350147","8.147334098305643","0.8543939632292282","231.45496824579146","2.9979982806253225","6.46038460252715","1026.8802375982164","956.2454139479663","1972.8647933977793","2241.1808433792257","1373.4689449414584","0.4981981488129661","0.8638713151293378","60.33936893342379","296.19393050266274","17.949474798672664","0.7586287825478797","36","0","-0.34224166246085314","1.3409408294282215","154415.83338505155","0.32183381088825214","0","0","0","0","0","0","999999","0","0","999999999","""Too few cows""","0.737","4.094"
"7","""Experiment""","0","true","0","""no""","0","""random""","0","""Average""","0","false","1","17520","52201.16145515751","6.007741712780652","0.6481313762386074","8.190399584288112","0.8861984540526414","237.81657723559616","2.946426401581189","6.410218461800438","942.8267091977538","936.5667745489218","1899.4817860857097","2302.2240417261814","1359.1328666916845","0.46681800784630006","0.8858915502144311","64.20947278879214","296.20303220126806","18.580306652284527","0.7389472161202006","90","11","0.8107345839921423","0.16339171025874213","7348.469228349534","561.84","0","0","0","1426.307742019473","131.25210122839775","8","0","0.35330378521575223","683.8525548455798","166.65951261333362","""Too few cows""","4.455","16.904"
"47","""Experiment""","0","true","0","""no""","0","""extreme""","10","""Average""","0","false","0.85","5475","48091.269012851255","5.8004809885833355","0.6939685993099831","8.151028282676506","0.8831630788810236","233.9936144644073","2.972683010666893","5.935627157148833","953.1141661616429","891.4068202794047","1959.3044744557958","2215.7790340363936","1319.0383934525826","0.4675835420880886","0.872898597474742","64.45849322211981","307.5077713249105","17.865792720010592","0.7292979575797638","61","0","0.3618515575033071","0.6369540379981237","75738.22284685586","31.74","0","0","0","0","0","0","999999","0","0","999999999","""Too few cows""","1.431","4.23"
"48","""Experiment""","0","true","0","""no""","0","""extreme""","10","""Average""","0","false","0.95","5475","48026.74016806926","5.753560820185227","0.663749779721219","7.728595809979279","0.8856152491129224","227.61161291508552","3.0841267913386723","6.101169632119809","994.090202052465","924.5676619862063","1948.418419825388","2419.737517856473","1410.9865911135516","0.48832096029508776","0.8696127710232455","63.05787927231663","301.3664066352184","17.88823017483891","0.7458300793550827","73","0","0.4879665285877368","0.5043004814623463","49675.65198364285","151.92","0","0","0","0","0","0","999999","0","0","999999999","""Too few cows""","1.691","4.039"
"45","""Experiment""","0","true","0","""no""","0","""extreme""","10","""Average""","0","false","0.22","6570","52045.1309744245","5.787676796792306","0.694766976543759","7.964151507941377","0.887896912976391","231.55826344999335","3.2599561116652565","6.697204307206105","1019.1009561333705","911.692834811268","1907.8082500999292","2263.026161605484","1382.1473851753572","0.5111738834435307","0.9303252315724015","62.71100368594226","298.4984189841418","17.889512824073467","0.7669187599366929","2","1","0.08946947041232128","0.9153589615374003","8965.132458586431","0.304390243902439","0","0","0","4.85187369009416","0.6288318837962629","28","25","0.2488016534342406","555.4288677936369","179.36239434521164","""too little average harvest""","0.099","8.484"
