"BehaviorSpace results (NetLogo 5.2.1)"
"ZAPMM-2018-06-15_WithTimers.nlogo"
"OT_tran_vary"
"06/16/2018 01:40:08:925 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","50","0","50"
"[run number]","model-mode","times-per-day-farmers-move-cows","invincible-fences","key-resources","subsidy","cow-proportion-to-save","rainfall-type","muonde-projects","rain-site","how-long-to-store-grain","use-muonde-thresholds","clumpiness","[step]","total-mud-crop-perimeter","wood-to-build-fence-per-meter","termite-activity","hours-to-plough-ha","crop-growth-slope","zero-crop-growth-intercept","muonde-efficiency","woodland-growth-slope","cow-maintenance-energy-rate","cow-working-energy-per-hour","kcal-per-kg-of-browse","kcal-per-kg-of-crop","kcal-per-kg-of-cow","production-efficiency","catabolism-efficiency","min-cow-mass","max-cow-mass","calf-birth-mass","livestock-not-reproduction-rate-per-year","proportion-crops","years-gone","morans-i","gearys-c","total-crop-perimeter","average-contiguous-crop-cluster-size","max-percentage-harvest-eaten","crop-eaten-per-cow-per-half-hour","subsidy-used","total-harvest","mean previous-harvests-list","max-livestock-number","min-livestock-number","actual-reproductive-rate","max-woodland-mass","min-woodland-mass","termination-reason","model-setup-time","model-run-time"
"24","""Experiment""","0","true","0","""transport""","0.7","""random""","10","""Average""","3","false","0.22","5475","50584.10363002467","5.91652333248354","0.6411554537069442","8.131583463374389","0.9134673195832572","229.72115716624307","3.173619157651178","6.647763516805147","1004.6893220644683","894.4404151407875","1867.794088230444","2418.3459672011386","1423.9107647931962","0.48834464655258647","0.9100504964081526","61.548686532993","293.48345442967917","18.638253109707215","0.7718388279381314","61","0","0.013271544925173328","0.9883911624563377","117526.51785873689","2.4415384615384617","0","0","0","0","32.26751551119969","0","999999","0","0","999999999","""Too few cows""","3.391","4.566"
"9","""Experiment""","0","true","0","""transport""","0.7","""random""","0","""Average""","3","false","0.07","5475","50802.52350800452","5.710457375071615","0.6969025524498212","7.811739396503225","0.8355922860894098","222.81984626538292","2.83552708240744","6.329273451030052","950.2978053406733","913.7886667342528","1917.7456186635056","2269.90832290633","1336.2211505558457","0.4944271822359675","0.8865793750214662","61.2577364440277","304.6987713647085","17.406534459550947","0.7368976404678576","61","0","-0.28415119572400604","1.2837961076339919","152652.20077024764","1.4159107806691449","0","0","0","0","24.78782157142955","0","999999","0","0","999999999","""Too few cows""","3.376","4.58"
"23","""Experiment""","0","true","0","""transport""","0.7","""random""","10","""Average""","3","false","0.07","5475","49896.07052127874","6.044416318088732","0.6960515999744119","8.18147392357346","0.8527390582618825","224.89880942339184","2.7088844108294325","6.714281604795256","969.5132364439538","949.5274600642163","1930.6664838851889","2418.874948042057","1319.8799209116717","0.473762010551239","0.9428932542616909","59.92438268876115","293.9901985656342","18.412616871623634","0.7412722213112551","41","0","-0.37927265600300364","1.3784220400091076","166663.28209896744","0.3618670438472419","0","0","0","0","19.77348302325611","0","999999","0","0","999999999","""Too few cows""","2.996","4.941"
"16","""Experiment""","0","true","0","""transport""","0.7","""random""","10","""Average""","0","false","0.07","5475","47901.8428145439","5.959399602415057","0.6631072569654247","8.397868486783997","0.8474295484788846","232.75300939989168","3.248355494160257","6.567532263997603","974.3586034064365","963.3023634338288","1999.9136637172917","2436.157051753523","1420.39978265577","0.47755435363170573","0.9107511048549909","65.16485098840168","294.6360263671344","17.36638424503882","0.7777462120579071","44","0","-0.3654171691372057","1.364735911866989","168083.98614978167","0.416","0","0","0","0","0","0","999999","0","0","999999999","""Too few cows""","3.461","4.49"
"12","""Experiment""","0","true","0","""transport""","0.7","""random""","0","""Average""","3","false","0.85","5475","51036.134782000685","5.929290911715488","0.6928713689870654","7.777742468092891","0.8767968983156522","229.22422616640824","3.1026600178327426","6.325637076563877","931.3592713992643","919.4304335887609","1923.0218302512044","2321.663238086046","1417.0915230794842","0.5022217649377962","0.9275349418366742","64.12128401418687","310.6589399995305","17.948884177397336","0.7506908392915519","61","0","0.3993498543136258","0.6002859206748161","71378.13110470181","42.32","0","0","0","0","25.474974209718482","0","999999","0","0","999999999","""Too few cows""","3.56","4.789"
"4","""Experiment""","0","true","0","""transport""","0.7","""random""","0","""Average""","0","false","0.54","5475","47984.848296466254","5.666561894738487","0.6550763729326488","7.924169820523633","0.8851757922468575","226.61676832513197","3.183576292806153","5.796741701862255","935.2793197081348","945.0644275531554","1911.7493977982829","2268.604982041692","1406.8557927245436","0.48797902042154184","0.9418439017919578","62.3026730382038","310.51044061439","17.872659874371273","0.7837586399577459","65","0","0.15469239253070902","0.8487791839307991","96509.8958656572","7.515555555555554","0","0","0","0","0","0","999999","0","0","999999999","""Too few cows""","3.845","4.551"
"19","""Experiment""","0","true","0","""transport""","0.7","""random""","10","""Average""","0","false","0.85","5475","50319.043980603594","5.563530180638742","0.6727126630602284","7.718140659132405","0.8624518878691956","238.6806976925733","3.052923091332623","6.066959229826259","984.7910641782573","938.9381327289415","1836.0839068380524","2232.7422639600086","1351.5975912592858","0.4675910447779201","0.896144338266976","64.11779742499834","294.5388599385315","17.868576956108836","0.7479034244487877","81","0","0.31615006493393427","0.6751929423855717","51929.18254700337","505.68","0","0","0","0","0","0","999999","0","0","999999999","""Too few cows""","4.057","4.873"
"2","""Experiment""","0","true","0","""transport""","0.7","""random""","0","""Average""","0","false","0.07","5475","49294.70441275715","5.913317848765416","0.7025990389580249","8.253169944846938","0.8675900852131302","224.31034374308487","2.8833050018432242","6.522788902319663","989.8406795471682","909.04821268678","1843.965902302845","2399.5678184726703","1347.8075035049978","0.4719865727918893","0.9166825767143205","61.54758842965899","309.56214058029633","17.313158263724866","0.7758946010572285","71","0","-0.32291243520791846","1.3206316996483873","135897.69092961072","3.6334426229508194","0","0","0","0","0","0","999999","0","0","999999999","""Too few cows""","4.077","4.94"
"18","""Experiment""","0","true","0","""transport""","0.7","""random""","10","""Average""","0","false","0.54","5475","49924.91862031673","5.993586742978133","0.7011920039202522","8.287799311928842","0.8732793378238424","226.55964737769463","3.0052535356948207","6.72412065968691","971.0394264832387","964.189574012885","1975.9657208595086","2296.0624596218813","1332.1159916763427","0.4863699187126056","0.8676026499390878","62.70081262834031","291.26249750562073","17.80515061965752","0.7715892536978979","77","0","0.18544431654356863","0.818098902417738","72406.91679667075","80.11999999999999","0","0","0","0","0","0","999999","0","0","999999999","""Too few cows""","4.644","4.661"
"5","""Experiment""","0","true","0","""transport""","0.7","""random""","0","""Average""","0","false","0.85","5475","48114.387021447445","5.5808187152738595","0.6798441123992668","7.6118613999549956","0.8620614184839331","237.56193952996964","2.7028459734163715","5.848362895505092","1014.3735520018562","889.1908653895896","1885.2532981446575","2293.7362791708765","1303.497409387402","0.4814632519353453","0.8960523471830507","61.7964770825446","292.3188792995365","17.532614302796024","0.7212383664201375","93","0","0.33574178698595447","0.6565877207971685","21359.550557069313","580.56","0","0","0","0","0","0","999999","0","0","999999999","""Too few cows""","4.882","4.716"
